window cursor names,filename,Is syslink,window cursor names
,alias,,alternte
move,all-scroll,,busy
pointer,arrow,default,cross
dgn2,bottom_left_corner,,dgn1
dgn1,bottom_right_corner,,dgn2
vert,bottom_side,,hand
,cell,,help
,center_ptr,,horz
unavailiable,circle,not-allowed,link
hand,closedhand,dnd-move,move
,color-picker,,pointer
horz,col-resize,,text
,context-menu,,unavailiable
,copy,,vert
cross,cross,crosshair,work
unavailiable,crossed_circle,not-allowed,
cross,crosshair,,
pointer,default,,
,dnd-copy,copy,
hand,dnd-move,,
unavailiable,dnd-no-drop,,
hand,dnd-none,dnd-move,
,down-arrow,,
,draft,,
horz,e-resize,size_hor,
horz,ew-resize,size_hor,
hand,fleur,,
unavailiable,forbidden,no-drop,
hand,grab,openhand,
hand,grabbing,closedhand,
work,half-busy,progress,
pointer,hand1,pointer,
pointer,hand2,pointer,
horz,h_double_arrow,size_hor,
help,help,,
text,ibeam,text,
,left-arrow,,
pointer,left_ptr,default,
help,left_ptr_help,help,
busy,left_ptr_watch,progress,
horz,left_side,,
,link,alias,
hand,move,dnd-move,
dgn2,ne-resize,size_bdiag,
dgn2,news-resize,size_bdiag,
unavailiable,no-drop,,
unavailiable,not-allow,,
vert,n-resize,size_ver,
vert,ns-resize,size_ver,
dgn1,nw-resize,size_fdiag,
dgn1,nwse-resize,size_fdiag,
hand,openhand,,
,pencil,,
unavailiable,pirate,,
,plus,cell,
pointer,pointer,,
pointer,pointing_hand,pointer,
work,progress,,
help,question_arrow,help,
,right-arrow,,
,right_ptr,,
horz,right_side,,
vert,row-resize,,
horz,sb_h_double_arrow,size_hor,
vert,sb_v_double_arrow,size_ver,
dgn1,se-resize,size_fdiag,
move,size_all,fleur,
pointer,size-bdiag,default,
dgn2,size_bdiag,,
pointer,size-fdiag,default,
dgn1,size_fdiag,,
pointer,size-hor,default,
horz,size_hor,,
pointer,size-ver,default,
vert,size_ver,,
horz,split_h,col-resize,
vert,split_v,row-resize,
vert,s-resize,size_ver,
dgn2,sw-resize,size_bdiag,
cross,tcross,crosshair,
text,text,,
pointer,top_left_arrow,default,
dgn1,top_left_corner,,
dgn2,top_right_corner,,
vert,top_side,,
,up-arrow,,
vert,v_double_arrow,size_ver,
text,vertical-text,,
busy,wait,,
busy,watch,wait,
,wayland-cursor,,
help,whats_this,help,
horz,w-resize,size_hor,
,x-cursor,,
text,xterm,text,
,zoom-in,,
,zoom-out,,
